Neighborhood Name,Geo Entity ID,Poverty - Rank 2011-15,Pre-1950 Homes - Percent 2011-15,Race and Ethnicity (ICE 2) - Percent Black 2011-15,Race and Ethnicity (ICE 2) - Percent Asian 2011-15,Rent Burdened Households - Percent 2012-16,Race and Ethnicity (ICE 2) - Percent White 2011-15,Race and Ethnicity (ICE 2) - ICE 2011-15,Poverty - Percent 2012-16
Manhattan: Midtown-Midtown South,6117,2,46.7,3.7,20.9,42.7,65.0,0.3,13.9
Manhattan: Morningside Heights,6109,3,68.1,12.2,15.6,44.9,48.0,0.1,23.2
Manhattan: Murray Hill-Kips Bay,6120,1,26.7,4.4,17.7,41.2,63.4,0.3,12.2
Manhattan: SoHo-TriBeCa-Civic Center-Little Italy,6124,1,62.5,2.3,21.4,37.6,65.2,0.4,8.7
Manhattan: Stuyvesant Town-Cooper Village,6150,1,82.3,3.6,14.3,44.1,72.7,0.4,10.7
Manhattan: Turtle Bay-East Midtown,6119,1,36.3,1.7,14.9,43.3,75.3,0.5,5.3
Manhattan: Upper East Side-Carnegie Hill,6140,1,60.2,1.1,5.8,35.5,84.7,0.6,5.3
Manhattan: Upper West Side,6112,1,72.3,7.8,7.6,41.3,65.2,0.4,10.9
Manhattan: Washington Heights North,6135,2,80.1,5.0,2.9,53.6,25.7,0.0,21.6
Manhattan: Washington Heights South,6136,3,77.9,10.8,3.0,53.6,11.7,-0.2,27.4
Manhattan: West Village,6123,1,64.7,1.9,9.0,38.8,80.0,0.5,6.4
Manhattan: Yorkville,6132,1,30.4,2.8,8.0,43.2,77.2,0.4,6.9
Queens: Astoria,8170,2,60.6,4.2,15.5,46.1,50.4,0.1,14.8
Queens: Auburndale,8148,1,47.9,1.5,44.3,45.1,38.7,0.1,6.3
Queens: Baisley Park,8176,2,45.7,72.9,4.7,58.5,0.9,-0.2,14.0
Queens: Bayside-Bayside Hills,8146,1,43.1,1.6,39.1,42.8,41.8,0.2,7.3
Queens: Bellerose,8143,1,51.4,6.0,40.3,44.2,30.4,0.1,11.2
Queens: Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,8110,1,43.5,7.0,2.8,47.9,77.5,0.3,6.8
Queens: Briarwood-Jamaica Hills,8135,2,39.1,10.4,38.6,47.5,18.7,0.0,15.6
Queens: Cambria Heights,8133,1,60.7,89.7,0.9,43.2,1.7,-0.1,3.9
Queens: College Point,8123,2,40.7,2.0,33.1,58.1,25.4,0.0,13.9
Queens: Corona,8125,3,27.8,17.7,13.8,60.8,7.3,-0.1,20.8
Queens: Douglas Manor-Douglaston-Little Neck,8145,1,30.5,1.8,39.2,49.3,47.5,0.2,7.5
Queens: East Elmhurst,8127,2,57.4,23.1,7.4,59.5,5.5,-0.2,19.7
Queens: East Flushing,8152,2,49.0,1.0,62.7,57.9,15.1,-0.1,15.6
Queens: Elmhurst,8129,2,45.8,1.5,46.7,62.1,5.9,-0.1,20.8
Queens: Elmhurst-Maspeth,8150,2,41.0,0.7,55.0,55.8,13.5,-0.1,13.4
Queens: Far Rockaway-Bayswater,8115,2,27.7,41.8,3.4,59.5,25.0,-0.1,20.9
Queens: Flushing,8122,3,22.5,4.1,70.5,61.7,8.2,-0.3,25.9
Queens: Forest Hills,8117,1,47.3,3.1,25.2,48.1,54.5,0.2,11.2
Queens: Fresh Meadows-Utopia,8141,1,46.5,4.5,49.7,61.3,28.2,0.0,13.1
Queens: Ft. Totten-Bay Terrace-Clearview,8147,1,11.9,0.5,20.9,35.1,66.0,0.2,7.1
Queens: Glen Oaks-Floral Park-New Hyde Park,8144,1,24.2,4.9,36.6,37.0,46.8,0.2,6.3
Queens: Glendale,8119,1,76.0,0.9,4.1,42.0,60.5,0.2,9.1
Queens: Hammels-Arverne-Edgemere,8112,3,22.9,48.4,4.6,45.4,16.7,-0.2,25.7
Queens: Hollis,8107,1,61.3,61.1,17.0,59.2,2.5,-0.2,11.3
Queens: Hunters Point-Sunnyside-West Maspeth,8131,2,60.4,1.8,24.9,47.2,37.6,0.1,13.5
Queens: Jackson Heights,8128,2,50.8,2.0,23.0,58.8,16.0,0.0,16.8
Queens: Jamaica,8161,2,49.6,16.8,32.1,62.4,3.4,-0.2,22.2
Queens: Jamaica Estates-Holliswood,8106,1,41.5,24.6,31.3,56.0,23.9,0.0,9.7
Queens: Kew Gardens,8160,1,53.8,7.5,17.9,54.9,48.8,0.1,12.1
Queens: Kew Gardens Hills,8137,1,38.8,7.2,24.9,54.0,52.4,0.1,11.8
Queens: Laurelton,8166,1,55.5,89.6,1.1,55.7,1.2,-0.1,5.8
Queens: Lindenwood-Howard Beach,8157,1,16.5,2.1,4.3,52.8,71.1,0.3,10.7
Queens: Maspeth,8130,1,62.7,1.2,11.8,52.1,56.4,0.1,11.3
Queens: Middle Village,8121,1,49.7,1.0,7.7,44.5,73.1,0.3,8.1
Queens: Murray Hill,8151,2,41.6,1.6,55.8,54.4,25.8,-0.1,16.7
Queens: North Corona,8126,3,43.2,3.6,6.7,60.8,1.0,-0.1,22.7
Queens: Oakland Gardens,8142,1,28.3,2.1,46.3,50.7,40.1,0.1,8.8
Queens: Old Astoria,8171,2,41.0,12.3,14.9,48.5,36.9,0.0,20.2
Queens: Ozone Park,8156,2,53.7,5.7,22.6,51.3,24.1,0.1,15.6
Queens: Pomonok-Flushing Heights-Hillcrest,8138,2,29.0,11.3,31.6,57.3,33.4,0.0,18.9
Queens: Queens Village,8134,1,67.2,47.5,17.2,56.8,6.5,-0.1,10.7
Queens: Queensboro Hill,8162,2,38.3,1.2,65.7,55.6,14.4,-0.1,14.2
Queens: Queensbridge-Ravenswood-Long Island City,8168,3,66.9,20.3,19.1,46.7,16.5,-0.3,33.3
Queens: Rego Park,8118,2,40.7,2.8,31.7,53.7,43.9,0.1,13.6
Queens: Richmond Hill,8154,2,72.6,8.4,31.4,53.8,10.1,-0.1,17.3
Queens: Ridgewood,8120,2,73.4,1.8,7.8,46.4,40.2,0.1,16.8
Queens: Rosedale,8105,1,30.2,83.0,2.5,46.3,4.0,-0.1,8.1
Queens: South Jamaica,8101,2,40.8,66.0,6.7,56.9,0.5,-0.3,18.5
Queens: South Ozone Park,8155,2,63.6,23.3,24.8,58.6,5.7,-0.1,14.2
Queens: Springfield Gardens North,8102,1,16.8,89.3,1.3,45.4,1.2,-0.2,8.8
Queens: Springfield Gardens South-Brookville,8103,1,30.6,86.0,1.3,52.5,2.8,-0.1,12.4
Queens: St. Albans,8108,1,54.3,87.5,1.5,50.5,1.1,-0.2,9.2
Queens: Steinway,8172,1,57.0,1.7,11.4,47.6,64.3,0.2,10.4
Queens: Whitestone,8149,1,30.7,0.5,18.7,52.6,62.9,0.3,5.0
Queens: Woodhaven,8153,2,66.9,4.2,23.4,55.5,15.2,0.0,13.8
Queens: Woodside,8163,2,49.2,1.4,39.5,57.7,22.5,0.0,14.3
Staten Island: Annadale-Huguenot-Prince's Bay-Eltingville,8501,1,9.1,0.7,3.4,31.8,87.9,0.4,5.5
Staten Island: Arden Heights,8548,1,4.3,1.9,6.1,37.2,78.6,0.3,7.0
Staten Island: Charleston-Richmond Valley-Tottenville,8511,1,20.7,1.4,4.3,47.8,80.9,0.4,6.2
Staten Island: Grasmere-Arrochar-Ft. Wadsworth,8514,1,23.9,5.3,12.0,42.3,67.3,0.2,12.5
Staten Island: Great Kills,8554,1,12.5,0.1,4.8,39.4,85.4,0.4,7.3
Staten Island: Grymes Hill-Clifton-Fox Hills,8508,2,26.6,28.6,8.9,45.2,27.9,0.0,22.9
Staten Island: Mariner's Harbor-Arlington-Port Ivory-Graniteville,8512,2,26.4,30.7,10.0,48.6,22.7,-0.1,22.2
Staten Island: New Brighton-Silver Lake,8535,2,58.4,11.9,4.3,48.2,56.4,0.3,15.2
Staten Island: New Dorp-Midland Beach,8545,1,35.0,1.0,8.5,65.1,76.7,0.3,9.2
Staten Island: New Springville-Bloomfield-Travis,8505,1,10.2,5.8,15.7,47.7,62.4,0.2,9.9
Staten Island: Oakwood-Oakwood Beach,8525,1,10.2,2.1,2.7,49.9,81.3,0.4,7.2
Staten Island: Old Town-Dongan Hills-South Beach,8536,2,15.5,3.9,9.8,56.9,69.7,0.2,13.7
Staten Island: Port Richmond,8528,2,48.9,17.8,5.8,59.9,39.4,0.1,20.7
Staten Island: Rossville-Woodrow,8532,1,5.3,0.4,6.2,40.5,85.0,0.4,11.4
Staten Island: Stapleton-Rosebank,8537,2,39.8,19.6,11.2,56.9,35.4,0.0,22.4
Staten Island: Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,8524,1,8.7,1.9,14.1,48.4,72.5,0.3,8.5
Staten Island: West New Brighton-New Brighton-St. George,8522,3,49.5,35.8,4.1,50.8,24.3,-0.1,26.7
Staten Island: Westerleigh,8507,1,40.4,3.6,8.0,44.8,72.5,0.3,9.0
